"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"IntelyCare",NA,NA,"7/10/2023","Health","Boston, MA","Series C","Bostinno",NA,"Boston"
"Latch",NA,0.59,"7/10/2023","Security","New York City, NY","Post-IPO","MarketScreener",NA,"New York City"
"Motive",NA,0.05,"7/10/2023","Travel","San Francisco, CA","Series F","layoffs.fyi",NA,"San Francisco"
"Microsoft",NA,NA,"7/10/2023","Business","Seattle, WA","Post-IPO","Business Insider","This entry was updated when the number of layoffs was reported after the initial announcement of this round of job cuts.","Seattle"
"Evernote",129,NA,"7/7/2023","Software","Redwood City, CA","Acquired","SFGate",NA,"Redwood City"
"Crunchbase",NA,NA,"7/6/2023","Business","San Francisco, CA","Unknown","LinkedIn, Crunchbase News reporting",NA,"San Francisco"
"Amdocs",NA,0.065,"7/6/2023","Business","Chesterfield, MO","Post-IPO","Calcalist",NA,"Chesterfield"
"TytoCare",20,0.1,"7/6/2023","Health","New York City, NY","Series D","Calcalist",NA,"New York City"
"connectRN",NA,NA,"7/6/2023","Health","Boston, MA","Unknown","BostInno",NA,"Boston"
"DayTwo",NA,NA,"7/6/2023","Health","San Francisco, CA","Series B","Calcalist",NA,"San Francisco"
"Buzzer",NA,1,"6/30/2023","Sports","New York City, NY","Series A","FrontofficeSports",NA,"New York City"
"Lunya",NA,1,"6/30/2023","Business","Los Angeles, CA","Unknown","Modern Retail",NA,"Los Angeles"
"MediaMath",NA,1,"6/30/2023","Advertising","New York City, NY","Private Equity","AdExchanger",NA,"New York City"
"Niantic",230,NA,"6/29/2023","Gaming","San Francisco, CA","Series D","CNBC",NA,"San Francisco"
"Headspace Health",181,0.15,"6/29/2023","Telecommunication","Los Angeles, CA","Unknown","Los Angeles Times",NA,"Los Angeles"
"Zapier",NA,0.1,"6/28/2023","Cloud","San Francisco, CA","Seed","Zapier",NA,"San Francisco"
"Plex",37,0.2,"6/28/2023","Media","Los Gatos, CA","Unknown","The Verge",NA,"Los Gatos"
"Waze",NA,NA,"6/27/2023","Travel","Palo Alto, CA","Acquired","CNBC",NA,"Palo Alto"
"New Relic",212,NA,"6/27/2023","Cloud","San Francisco, CA","Post-IPO","SFGate",NA,"San Francisco"
"Convoy",30,0.05,"6/26/2023","Logistics","Seattle, WA","Series E","GeekWire",NA,"Seattle"
"Robinhood",150,0.07,"6/26/2023","Finance","Menlo Park, CA","Post-IPO","WSJ",NA,"Menlo Park"
"Payoneer",200,0.1,"6/26/2023","Finance","New York City, NY","Post-IPO","Calcalistech",NA,"New York City"
"amyris",148,NA,"6/25/2023","Biotech","Emeryville, CA","Unknown","RetailDive","This entry was updated when the number of layoffs was reported after the initial announcement of this round of job cuts. It's unclear how many of the layoffs are in the U.S.","Emeryville"
"Joonko",NA,1,"6/25/2023","Human Resources","New York City, NY","Series B","Calcalistech",NA,"New York City"
"IRL",NA,1,"6/23/2023","Social Related","San Francisco, CA","Series C","The Information",NA,"San Francisco"
"Retool",NA,0.09,"6/22/2023","Software","San Francisco, CA","Series C","Crunchbase News Reporting",NA,"San Francisco"
"Uber",200,NA,"6/21/2023","Services","San Francisco, CA","Post-IPO","Reuters",NA,"San Francisco"
"Anaplan",300,NA,"6/21/2023","Software","San Francisco, CA","Acquired","New York Post",NA,"San Francisco"
"Panther",NA,1,"6/19/2023","Human Resources","Tampa, FL","Seed","CEO Matt Redler",NA,"Tampa"
"Fuzzy",NA,1,"6/18/2023","Health","San Francisco, CA","Series C","Crunchbase reporting",NA,"San Francisco"
"Zulily",NA,NA,"6/16/2023","Business","Seattle, WA","Acquired","GeekWire",NA,"Seattle"
"Nikola Motor Company",270,NA,"6/16/2023","Electric Vehicle (EV)","Phoenix, AZ","Unknown","Reuters",NA,"Phoenix"
"Cerner",NA,NA,"6/15/2023","Health","Kansas City, MO","Acquired","Business Insider",NA,"Kansas City"
"Binance.US",NA,NA,"6/15/2023","Telecommunication","Palo Alto, CA","Subsidiary","Reuters",NA,"Palo Alto"
"CareRev",100,0.33,"6/15/2023","Health","Los Angeles, CA","Series A","The Information",NA,"Los Angeles"
"Olo",81,0.11,"6/14/2023","Food","New York City, NY","Unknown","Restaurant Business Online",NA,"New York City"
"TrueCar",102,0.24,"6/14/2023","Auto","Santa Monica, CA","Post-IPO","TechCrunch",NA,"Santa Monica"
"Sonos",130,0.07,"6/14/2023","Consumer","Santa Barbara, CA","Post-IPO","CNBC",NA,"Santa Barbara"
"Bitwise",900,1,"6/14/2023","Cryptocurrency","San Francisco, CA","Series B","The Bakersfield Californian",NA,"San Francisco"
"dot.LA",7,1,"6/12/2023","Media","Beverly Hills, CA","Seed","Crunchbase reporting",NA,"Beverly Hills"
