Name,Ticker,Layoff,PctLayoff,DateLayoff,Industry,Headquarters,FinancingStage
Pinterest,PINS,150,NA,2/1/2023,Social Related,"San Francisco, CA",Post-IPO
Zebra Technologies,ZBRA,700,0.07,8/28/2023,Software,"Chicago, IL",Post-IPO
Pear Therapeutics,PEARQ,170,0.92,4/7/2023,Software,"Boston, MA",Post-IPO
Pear Therapeutics,PEARQ,25,0.09,7/25/2022,Software,"Boston, MA",Post-IPO
DraftKings,DKNG,140,0.04,2/1/2023,Sports,"Boston, MA",Post-IPO
Confluent,CFLT,221,0.08,1/26/2023,Media,"Mountain View, CA",Post-IPO
Roku,ROKU,136,NA,10/26/2023,Media,"Los Gatos, CA",Post-IPO
Roku,ROKU,360,0.1,9/6/2023,Media,"Los Gatos, CA",Post-IPO
Roku,ROKU,200,0.06,3/30/2023,Media,"Los Gatos, CA",Post-IPO
Qualcomm,QCOM,153,NA,12/22/2022,Telecommunication,"San Diego, CA",Post-IPO
8x8,EGHT,155,0.07,1/18/2023,Telecommunication,"San Jose, CA",Post-IPO
Shift,SFTGQ,490,1,10/6/2023,Travel,"San Francisco, CA",Unknown
Inspirato,ISPOW,50,0.06,7/20/2023,Travel,"Denver, CO",Post-IPO
Zoom,ZM,150,0.02,2/1/2024,Telecommunication,"San Jose, CA",Post-IPO
Zoom,ZM,1300,0.15,2/7/2023,Telecommunication,"San Jose, CA",Post-IPO
Wix,WIX,370,0.06,2/15/2023,Software,"San Francisco, CA",Post-IPO
GoDaddy,GDDY,530,0.08,2/8/2023,Customer Relationship,"Scottsdale, AZ",Post-IPO
Starry,STRYQ,100,0.24,1/18/2023,Telecommunication,"Boston, MA",Post-IPO
Amazon,AMZN,150,NA,10/27/2023,Business,"Seattle, WA",Post-IPO
Amazon,AMZN,9000,0.02,3/20/2023,Business,"Seattle, WA",Post-IPO
Amazon,AMZN,8000,0.02,1/4/2023,Business,"Seattle, WA",Post-IPO
Amazon,AMZN,10000,0.03,11/16/2022,Business,"Seattle, WA",Post-IPO
Salesforce,CRM,NA,0.1,1/4/2023,Business,"San Francisco, CA",Post-IPO
Salesforce,CRM,NA,0.01,11/7/2022,Business,"San Francisco, CA",Post-IPO
Cisco,CSCO,NA,0.05,2/14/2024,Business,"San Jose, CA",Post-IPO
Dell,DELL,NA,NA,8/7/2023,Hardware,"Round Rock, TX",Post-IPO
DocuSign,DOCU,NA,0.09,9/28/2022,Services,"San Francisco, CA",Post-IPO
Amdocs,DOX,NA,0.065,7/6/2023,Business,"Chesterfield, MO",Post-IPO
eBay,EBAY,NA,0.09,1/23/2024,Business,"San Jose, CA",Post-IPO
Expedia Group,EXPE,NA,NA,9/1/2023,Telecommunication,"Seattle, WA",Post-IPO
Expedia,EXPE,NA,NA,7/17/2023,Travel,"Bellevue, WA",Post-IPO
Expedia,EXPE,NA,NA,3/21/2023,Travel,"Bellevue, WA",Post-IPO
GoDaddy,GDDY,NA,NA,10/23/2023,Software,"Scottsdale, AZ",Post-IPO
Alphabet,GOOG,NA,NA,1/22/2024,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,NA,NA,1/16/2024,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,1000,NA,1/10/2024,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,NA,NA,11/8/2023,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,NA,NA,11/1/2023,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,75,NA,9/13/2023,Software,"Mountain View, CA",Post-IPO
Alphabet,GOOG,NA,NA,7/31/2023,Software,"Mountain View, CA",Post-IPO
Lyft,LYFT,NA,0.3,4/21/2023,Travel,"San Francisco, CA",Post-IPO
Microsoft,MSFT,NA,NA,1/25/2024,Business,"Seattle, WA",Post-IPO
Microsoft,MSFT,NA,NA,7/10/2023,Business,"Seattle, WA",Post-IPO
Microsoft,MSFT,NA,0.01,7/11/2022,Business,"Seattle, WA",Post-IPO
Netflix,NFLX,300,NA,6/23/2022,Media,"Los Gatos, CA",Post-IPO
Invitae,NVTAQ,NA,0.15,12/15/2023,Biotech,"San Francisco, CA",Post-IPO
Invitae,NVTAQ,NA,NA,12/13/2023,Biotech,"San Francisco, CA",Post-IPO
Oracle,ORCL,NA,NA,1/17/2023,Software,"Austin, TX",Post-IPO
Oracle,ORCL,NA,NA,8/1/2022,Software,"Austin, TX",Post-IPO
Peloton,PTON,NA,0.3,10/6/2022,Fitness,"New York City, NY",Post-IPO
Peloton,PTON,NA,0.2,2/8/2022,Fitness,"New York City, NY",Post-IPO
Paypal,PYPL,NA,0.09,1/30/2024,Finance,"San Jose, CA",Post-IPO
Paypal,PYPL,NA,0.07,1/31/2023,Finance,"San Jose, CA",Post-IPO
Zebra Technologies,ZBRA,NA,0.03,7/24/2023,Software,"Lincolnshire, IL",Post-IPO
Wayfair,W,NA,0.19,11/19/2023,Business,"Boston, MA",Post-IPO
Uber Freight,UBER,NA,NA,1/9/2024,Logistics,"San Francisco, CA",Subsidiary
Uber Freight,UBER,150,0.03,1/23/2023,Logistics,"San Francisco, CA",Subsidiary
Twilio,TWLO,NA,0.17,2/13/2023,Business,"San Francisco, CA",Post-IPO
Spotify,SPOT,NA,0.17,12/5/2023,Media,"New York City, NY",Post-IPO
Sonos,SONO,NA,NA,11/15/2023,Consumer,"Santa Barbara, CA",Post-IPO
Shopify,SHOP,NA,0.2,5/4/2023,Business,"San Francisco, CA",Post-IPO
Stitch Fix,SFIX,NA,NA,1/18/2024,Business,"San Francisco, CA",Post-IPO
Stitch Fix,SFIX,NA,0.2,1/5/2023,Business,"San Francisco, CA",Post-IPO
RingCentral,RNG,NA,0.1,11/19/2022,Software,"Belmont, CA",Post-IPO
Qualcomm,QCOM,NA,NA,10/12/2023,Telecommunication,"San Diego, CA",Post-IPO
